"","sample.id","variable","value"
"734","MKII-3.35",0.076,0
"735","MKII-3.40",0.076,0
"774","MKII-2.90",0.087,0
"775","MKII-2.95",0.087,0
"776","MKII-3.0",0.087,0
"777","MKII-3.05",0.087,0
"778","MKII-3.10",0.087,0
"779","MKII-3.15",0.087,0
"780","MKII-3.20",0.087,0
"781","MKII-3.25",0.087,0
"782","MKII-3.30",0.087,0
"783","MKII-3.35",0.087,0
"784","MKII-3.40",0.087,0
"823","MKII-2.90",0.1,0
"824","MKII-2.95",0.1,0
"825","MKII-3.0",0.1,0
"826","MKII-3.05",0.1,0
"827","MKII-3.10",0.1,0
"828","MKII-3.15",0.1,0
"829","MKII-3.20",0.1,0
"830","MKII-3.25",0.1,0
"831","MKII-3.30",0.1,0
"832","MKII-3.35",0.1,0
"833","MKII-3.40",0.1,0
"872","MKII-2.90",0.115,0
"873","MKII-2.95",0.115,0
"874","MKII-3.0",0.115,0
"875","MKII-3.05",0.115,0
"876","MKII-3.10",0.115,0
"877","MKII-3.15",0.115,0
"878","MKII-3.20",0.115,0
"879","MKII-3.25",0.115,0
"880","MKII-3.30",0.115,0
"881","MKII-3.35",0.115,0
"882","MKII-3.40",0.115,0
"921","MKII-2.90",0.131,0
"922","MKII-2.95",0.131,0
"923","MKII-3.0",0.131,0
"924","MKII-3.05",0.131,0
"925","MKII-3.10",0.131,0
"926","MKII-3.15",0.131,0
"927","MKII-3.20",0.131,0
"928","MKII-3.25",0.131,0
"929","MKII-3.30",0.131,0
"930","MKII-3.35",0.131,0
"931","MKII-3.40",0.131,0
"970","MKII-2.90",0.15,0
"971","MKII-2.95",0.15,0
"972","MKII-3.0",0.15,0
"973","MKII-3.05",0.15,0
"974","MKII-3.10",0.15,0
"975","MKII-3.15",0.15,0
"976","MKII-3.20",0.15,0
"977","MKII-3.25",0.15,0
"978","MKII-3.30",0.15,0
"979","MKII-3.35",0.15,0
"980","MKII-3.40",0.15,0
"1019","MKII-2.90",0.172,0
"1020","MKII-2.95",0.172,0
"1021","MKII-3.0",0.172,0
"1022","MKII-3.05",0.172,0
"1023","MKII-3.10",0.172,0
"1024","MKII-3.15",0.172,0
"1025","MKII-3.20",0.172,0
"1026","MKII-3.25",0.172,0
"1027","MKII-3.30",0.172,0
"1028","MKII-3.35",0.172,0
"1029","MKII-3.40",0.172,0
"1068","MKII-2.90",0.197,0
"1069","MKII-2.95",0.197,0
"1070","MKII-3.0",0.197,0
"1071","MKII-3.05",0.197,0
"1072","MKII-3.10",0.197,0
"1073","MKII-3.15",0.197,0
"1074","MKII-3.20",0.197,0
"1075","MKII-3.25",0.197,0
"1076","MKII-3.30",0.197,0
"1077","MKII-3.35",0.197,0
"1078","MKII-3.40",0.197,0
"1117","MKII-2.90",0.226,0
"1118","MKII-2.95",0.226,0
"1119","MKII-3.0",0.226,0
"1120","MKII-3.05",0.226,0
"1121","MKII-3.10",0.226,0
"1122","MKII-3.15",0.226,0
"1123","MKII-3.20",0.226,0
"1124","MKII-3.25",0.226,0
"1125","MKII-3.30",0.226,0
"1126","MKII-3.35",0.226,0
"1127","MKII-3.40",0.226,0
"1166","MKII-2.90",0.259,0
"1167","MKII-2.95",0.259,0
"1168","MKII-3.0",0.259,0
"1169","MKII-3.05",0.259,0
"1170","MKII-3.10",0.259,0
"1171","MKII-3.15",0.259,0
"1172","MKII-3.20",0.259,0
"1173","MKII-3.25",0.259,0
"1174","MKII-3.30",0.259,0
"1175","MKII-3.35",0.259,0
"1176","MKII-3.40",0.259,0
"1215","MKII-2.90",0.296,0
"1216","MKII-2.95",0.296,0
"1217","MKII-3.0",0.296,0
"1218","MKII-3.05",0.296,0
"1219","MKII-3.10",0.296,0
"1220","MKII-3.15",0.296,0
"1221","MKII-3.20",0.296,0
"1222","MKII-3.25",0.296,0
"1223","MKII-3.30",0.296,0
"1224","MKII-3.35",0.296,0
"1225","MKII-3.40",0.296,0
"1264","MKII-2.90",0.339,0
"1265","MKII-2.95",0.339,0
"1266","MKII-3.0",0.339,0
"1267","MKII-3.05",0.339,0
"1268","MKII-3.10",0.339,0
"1269","MKII-3.15",0.339,0
"1270","MKII-3.20",0.339,0
"1271","MKII-3.25",0.339,0
"1272","MKII-3.30",0.339,0
"1273","MKII-3.35",0.339,0
"1274","MKII-3.40",0.339,0
"1313","MKII-2.90",0.389,0
"1314","MKII-2.95",0.389,0
"1315","MKII-3.0",0.389,0
"1316","MKII-3.05",0.389,0
"1317","MKII-3.10",0.389,0
"1318","MKII-3.15",0.389,0
"1319","MKII-3.20",0.389,0
"1320","MKII-3.25",0.389,0
"1321","MKII-3.30",0.389,0
"1322","MKII-3.35",0.389,0
"1323","MKII-3.40",0.389,0
"1362","MKII-2.90",0.445,0
"1363","MKII-2.95",0.445,0
"1364","MKII-3.0",0.445,0
"1365","MKII-3.05",0.445,0
"1366","MKII-3.10",0.445,0
"1367","MKII-3.15",0.445,0
"1368","MKII-3.20",0.445,0
"1369","MKII-3.25",0.445,0
"1370","MKII-3.30",0.445,0
"1371","MKII-3.35",0.445,0
"1372","MKII-3.40",0.445,0
"1411","MKII-2.90",0.51,0
"1412","MKII-2.95",0.51,0
"1413","MKII-3.0",0.51,0
"1414","MKII-3.05",0.51,0
"1415","MKII-3.10",0.51,0
"1416","MKII-3.15",0.51,0
"1417","MKII-3.20",0.51,0
"1418","MKII-3.25",0.51,0
"1419","MKII-3.30",0.51,0
"1420","MKII-3.35",0.51,0
"1421","MKII-3.40",0.51,0
"1460","MKII-2.90",0.584,0
"1461","MKII-2.95",0.584,0
"1462","MKII-3.0",0.584,0
"1463","MKII-3.05",0.584,0
"1464","MKII-3.10",0.584,0
"1465","MKII-3.15",0.584,0
"1466","MKII-3.20",0.584,0
"1467","MKII-3.25",0.584,0
"1468","MKII-3.30",0.584,0
"1469","MKII-3.35",0.584,0
"1470","MKII-3.40",0.584,0
"1509","MKII-2.90",0.669,0
"1510","MKII-2.95",0.669,0
"1511","MKII-3.0",0.669,0
"1512","MKII-3.05",0.669,0
"1513","MKII-3.10",0.669,0
"1514","MKII-3.15",0.669,0
"1515","MKII-3.20",0.669,0
"1516","MKII-3.25",0.669,0
"1517","MKII-3.30",0.669,0
"1518","MKII-3.35",0.669,0
"1519","MKII-3.40",0.669,0
"1558","MKII-2.90",0.766,0
"1559","MKII-2.95",0.766,0
"1560","MKII-3.0",0.766,0
"1561","MKII-3.05",0.766,0
"1562","MKII-3.10",0.766,0
"1563","MKII-3.15",0.766,0
"1564","MKII-3.20",0.766,0
"1565","MKII-3.25",0.766,0
"1566","MKII-3.30",0.766,0
"1567","MKII-3.35",0.766,0
"1568","MKII-3.40",0.766,0
"1607","MKII-2.90",0.877,0
"1608","MKII-2.95",0.877,0
"1609","MKII-3.0",0.877,0
"1610","MKII-3.05",0.877,0
"1611","MKII-3.10",0.877,0
"1612","MKII-3.15",0.877,0
"1613","MKII-3.20",0.877,0
"1614","MKII-3.25",0.877,0
"1615","MKII-3.30",0.877,0
"1616","MKII-3.35",0.877,0
"1617","MKII-3.40",0.877,0
"1656","MKII-2.90",1.005,0
"1657","MKII-2.95",1.005,0
"1658","MKII-3.0",1.005,0
"1659","MKII-3.05",1.005,0
"1660","MKII-3.10",1.005,0
"1661","MKII-3.15",1.005,0
"1662","MKII-3.20",1.005,0
"1663","MKII-3.25",1.005,0
"1664","MKII-3.30",1.005,0
"1665","MKII-3.35",1.005,0
"1666","MKII-3.40",1.005,0
"1705","MKII-2.90",1.151,0
"1706","MKII-2.95",1.151,0
"1707","MKII-3.0",1.151,0
"1708","MKII-3.05",1.151,0
"1709","MKII-3.10",1.151,0
"1710","MKII-3.15",1.151,0
"1711","MKII-3.20",1.151,0
"1712","MKII-3.25",1.151,0
"1713","MKII-3.30",1.151,0
"1714","MKII-3.35",1.151,0
"1715","MKII-3.40",1.151,0
"1754","MKII-2.90",1.318,0
"1755","MKII-2.95",1.318,0
"1756","MKII-3.0",1.318,0
"1757","MKII-3.05",1.318,0
"1758","MKII-3.10",1.318,0
"1759","MKII-3.15",1.318,0
"1760","MKII-3.20",1.318,0
"1761","MKII-3.25",1.318,0
"1762","MKII-3.30",1.318,0
"1763","MKII-3.35",1.318,0
"1764","MKII-3.40",1.318,0
"1803","MKII-2.90",1.51,0
"1804","MKII-2.95",1.51,0
"1805","MKII-3.0",1.51,0
"1806","MKII-3.05",1.51,0
"1807","MKII-3.10",1.51,0
"1808","MKII-3.15",1.51,0
"1809","MKII-3.20",1.51,0
"1810","MKII-3.25",1.51,0
"1811","MKII-3.30",1.51,0
"1812","MKII-3.35",1.51,0
"1813","MKII-3.40",1.51,0
"1852","MKII-2.90",1.729,0
"1853","MKII-2.95",1.729,0
"1854","MKII-3.0",1.729,0
"1855","MKII-3.05",1.729,0
"1856","MKII-3.10",1.729,0
"1857","MKII-3.15",1.729,0
"1858","MKII-3.20",1.729,0
"1859","MKII-3.25",1.729,0
"1860","MKII-3.30",1.729,0
"1861","MKII-3.35",1.729,0
"1862","MKII-3.40",1.729,0
"1901","MKII-2.90",1.981,0.0216
"1902","MKII-2.95",1.981,0.022
"1903","MKII-3.0",1.981,0
"1904","MKII-3.05",1.981,0
"1905","MKII-3.10",1.981,0
"1906","MKII-3.15",1.981,0
"1907","MKII-3.20",1.981,0
"1908","MKII-3.25",1.981,0
"1909","MKII-3.30",1.981,0
"1910","MKII-3.35",1.981,0
"1911","MKII-3.40",1.981,0
"1950","MKII-2.90",2.269,0.0808666666666667
"1951","MKII-2.95",2.269,0.0806
"1952","MKII-3.0",2.269,0.0146666666666667
"1953","MKII-3.05",2.269,0
"1954","MKII-3.10",2.269,0
"1955","MKII-3.15",2.269,0
"1956","MKII-3.20",2.269,0
"1957","MKII-3.25",2.269,0
"1958","MKII-3.30",2.269,0
"1959","MKII-3.35",2.269,0
"1960","MKII-3.40",2.269,0
"1999","MKII-2.90",2.599,0.1334
"2000","MKII-2.95",2.599,0.127133333333333
"2001","MKII-3.0",2.599,0.0644
"2002","MKII-3.05",2.599,0.0688666666666667
"2003","MKII-3.10",2.599,0.0158
"2004","MKII-3.15",2.599,0
"2005","MKII-3.20",2.599,0.00686666666666667
"2006","MKII-3.25",2.599,0.0151333333333333
"2007","MKII-3.30",2.599,0
"2008","MKII-3.35",2.599,0
"2009","MKII-3.40",2.599,0
"2048","MKII-2.90",2.976,0.173133333333333
"2049","MKII-2.95",2.976,0.1652
"2050","MKII-3.0",2.976,0.104133333333333
"2051","MKII-3.05",2.976,0.109266666666667
"2052","MKII-3.10",2.976,0.0652
"2053","MKII-3.15",2.976,0.0200909090909091
"2054","MKII-3.20",2.976,0.0536666666666667
"2055","MKII-3.25",2.976,0.0402666666666667
"2056","MKII-3.30",2.976,0.0357333333333333
"2057","MKII-3.35",2.976,0.014
"2058","MKII-3.40",2.976,0.0292
"2097","MKII-2.90",3.409,0.2056
"2098","MKII-2.95",3.409,0.195866666666667
"2099","MKII-3.0",3.409,0.131
"2100","MKII-3.05",3.409,0.144533333333333
"2101","MKII-3.10",3.409,0.1146
"2102","MKII-3.15",3.409,0.0635454545454545
"2103","MKII-3.20",3.409,0.0787333333333333
"2104","MKII-3.25",3.409,0.0637333333333333
"2105","MKII-3.30",3.409,0.0664
"2106","MKII-3.35",3.409,0.0552
"2107","MKII-3.40",3.409,0.0573333333333333
"2146","MKII-2.90",3.905,0.231733333333333
"2147","MKII-2.95",3.905,0.219866666666667
"2148","MKII-3.0",3.905,0.156466666666667
"2149","MKII-3.05",3.905,0.170866666666667
"2150","MKII-3.10",3.905,0.135933333333333
"2151","MKII-3.15",3.905,0.101545454545455
"2152","MKII-3.20",3.905,0.110466666666667
"2153","MKII-3.25",3.905,0.0858666666666667
"2154","MKII-3.30",3.905,0.09
"2155","MKII-3.35",3.905,0.0789333333333333
"2156","MKII-3.40",3.905,0.101866666666667
"2195","MKII-2.90",4.472,0.2482
"2196","MKII-2.95",4.472,0.242266666666667
"2197","MKII-3.0",4.472,0.1838
"2198","MKII-3.05",4.472,0.183466666666667
"2199","MKII-3.10",4.472,0.153066666666667
"2200","MKII-3.15",4.472,0.110545454545455
"2201","MKII-3.20",4.472,0.126733333333333
"2202","MKII-3.25",4.472,0.1128
"2203","MKII-3.30",4.472,0.111133333333333
"2204","MKII-3.35",4.472,0.1236
"2205","MKII-3.40",4.472,0.125666666666667
"2244","MKII-2.90",5.122,0.2558
"2245","MKII-2.95",5.122,0.249333333333333
"2246","MKII-3.0",5.122,0.192866666666667
"2247","MKII-3.05",5.122,0.188733333333333
"2248","MKII-3.10",5.122,0.157866666666667
"2249","MKII-3.15",5.122,0.125181818181818
"2250","MKII-3.20",5.122,0.147066666666667
"2251","MKII-3.25",5.122,0.130266666666667
"2252","MKII-3.30",5.122,0.115933333333333
"2253","MKII-3.35",5.122,0.138866666666667
"2254","MKII-3.40",5.122,0.1308
"2293","MKII-2.90",5.867,0.2576
"2294","MKII-2.95",5.867,0.250333333333333
"2295","MKII-3.0",5.867,0.197066666666667
"2296","MKII-3.05",5.867,0.1892
"2297","MKII-3.10",5.867,0.1584
"2298","MKII-3.15",5.867,0.127272727272727
"2299","MKII-3.20",5.867,0.149666666666667
"2300","MKII-3.25",5.867,0.123866666666667
"2301","MKII-3.30",5.867,0.116933333333333
"2302","MKII-3.35",5.867,0.142
"2303","MKII-3.40",5.867,0.131266666666667
"2342","MKII-2.90",6.72,0.258533333333333
"2343","MKII-2.95",6.72,0.249933333333333
"2344","MKII-3.0",6.72,0.1992
"2345","MKII-3.05",6.72,0.1882
"2346","MKII-3.10",6.72,0.1578
"2347","MKII-3.15",6.72,0.127909090909091
"2348","MKII-3.20",6.72,0.1502
"2349","MKII-3.25",6.72,0.122533333333333
"2350","MKII-3.30",6.72,0.1158
"2351","MKII-3.35",6.72,0.141666666666667
"2352","MKII-3.40",6.72,0.129133333333333
"2391","MKII-2.90",7.697,0.2626
"2392","MKII-2.95",7.697,0.252
"2393","MKII-3.0",7.697,0.201866666666667
"2394","MKII-3.05",7.697,0.1886
"2395","MKII-3.10",7.697,0.1578
"2396","MKII-3.15",7.697,0.128636363636364
"2397","MKII-3.20",7.697,0.15
"2398","MKII-3.25",7.697,0.121133333333333
"2399","MKII-3.30",7.697,0.114466666666667
"2400","MKII-3.35",7.697,0.1396
"2401","MKII-3.40",7.697,0.126133333333333
"2440","MKII-2.90",8.816,0.272666666666667
"2441","MKII-2.95",8.816,0.259066666666667
"2442","MKII-3.0",8.816,0.2066
"2443","MKII-3.05",8.816,0.192066666666667
"2444","MKII-3.10",8.816,0.160333333333333
"2445","MKII-3.15",8.816,0.130727272727273
"2446","MKII-3.20",8.816,0.1508
"2447","MKII-3.25",8.816,0.120533333333333
"2448","MKII-3.30",8.816,0.113666666666667
"2449","MKII-3.35",8.816,0.1372
"2450","MKII-3.40",8.816,0.123666666666667
"2489","MKII-2.90",10.097,0.287733333333333
"2490","MKII-2.95",10.097,0.270066666666667
"2491","MKII-3.0",10.097,0.212533333333333
"2492","MKII-3.05",10.097,0.198266666666667
"2493","MKII-3.10",10.097,0.164866666666667
"2494","MKII-3.15",10.097,0.133727272727273
"2495","MKII-3.20",10.097,0.152266666666667
"2496","MKII-3.25",10.097,0.120733333333333
"2497","MKII-3.30",10.097,0.1138
"2498","MKII-3.35",10.097,0.1348
"2499","MKII-3.40",10.097,0.1216
"2538","MKII-2.90",11.565,0.305266666666667
"2539","MKII-2.95",11.565,0.282466666666667
"2540","MKII-3.0",11.565,0.218333333333333
"2541","MKII-3.05",11.565,0.205
"2542","MKII-3.10",11.565,0.17
"2543","MKII-3.15",11.565,0.145909090909091
"2544","MKII-3.20",11.565,0.1532
"2545","MKII-3.25",11.565,0.127733333333333
"2546","MKII-3.30",11.565,0.113866666666667
"2547","MKII-3.35",11.565,0.1314
"2548","MKII-3.40",11.565,0.1194
"2587","MKII-2.90",13.246,0.333333333333333
"2588","MKII-2.95",13.246,0.303933333333333
"2589","MKII-3.0",13.246,0.2284
"2590","MKII-3.05",13.246,0.217333333333333
"2591","MKII-3.10",13.246,0.1792
"2592","MKII-3.15",13.246,0.151818181818182
"2593","MKII-3.20",13.246,0.1572
"2594","MKII-3.25",13.246,0.130266666666667
"2595","MKII-3.30",13.246,0.108933333333333
"2596","MKII-3.35",13.246,0.1232
"2597","MKII-3.40",13.246,0.118466666666667
"2636","MKII-2.90",15.172,0.3686
"2637","MKII-2.95",15.172,0.332266666666667
"2638","MKII-3.0",15.172,0.2412
"2639","MKII-3.05",15.172,0.233133333333333
"2640","MKII-3.10",15.172,0.190933333333333
"2641","MKII-3.15",15.172,0.159090909090909
"2642","MKII-3.20",15.172,0.1502
"2643","MKII-3.25",15.172,0.1336
"2644","MKII-3.30",15.172,0.120133333333333
"2645","MKII-3.35",15.172,0.122533333333333
"2646","MKII-3.40",15.172,0.118
"2685","MKII-2.90",17.377,0.402733333333333
"2686","MKII-2.95",17.377,0.360666666666667
"2687","MKII-3.0",17.377,0.2516
"2688","MKII-3.05",17.377,0.248133333333333
"2689","MKII-3.10",17.377,0.202533333333333
"2690","MKII-3.15",17.377,0.164909090909091
"2691","MKII-3.20",17.377,0.156533333333333
"2692","MKII-3.25",17.377,0.135933333333333
"2693","MKII-3.30",17.377,0.124266666666667
"2694","MKII-3.35",17.377,0.101266666666667
"2695","MKII-3.40",17.377,0.1168
"2734","MKII-2.90",19.904,0.426133333333333
"2735","MKII-2.95",19.904,0.382133333333333
"2736","MKII-3.0",19.904,0.255533333333333
"2737","MKII-3.05",19.904,0.2582
"2738","MKII-3.10",19.904,0.211133333333333
"2739","MKII-3.15",19.904,0.167636363636364
"2740","MKII-3.20",19.904,0.1604
"2741","MKII-3.25",19.904,0.1352
"2742","MKII-3.30",19.904,0.134333333333333
"2743","MKII-3.35",19.904,0.0988666666666667
"2744","MKII-3.40",19.904,0.107133333333333
"2783","MKII-2.90",22.797,0.434866666666667
"2784","MKII-2.95",22.797,0.3936
"2785","MKII-3.0",22.797,0.251333333333333
"2786","MKII-3.05",22.797,0.262733333333333
"2787","MKII-3.10",22.797,0.2164
"2788","MKII-3.15",22.797,0.167727272727273
"2789","MKII-3.20",22.797,0.162266666666667
"2790","MKII-3.25",22.797,0.132066666666667
"2791","MKII-3.30",22.797,0.144
"2792","MKII-3.35",22.797,0.0822666666666667
"2793","MKII-3.40",22.797,0.0774
"2832","MKII-2.90",26.111,0.430666666666667
"2833","MKII-2.95",26.111,0.397333333333333
"2834","MKII-3.0",26.111,0.241533333333333
"2835","MKII-3.05",26.111,0.264266666666667
"2836","MKII-3.10",26.111,0.220733333333333
"2837","MKII-3.15",26.111,0.166818181818182
"2838","MKII-3.20",26.111,0.164
"2839","MKII-3.25",26.111,0.121666666666667
"2840","MKII-3.30",26.111,0.148666666666667
"2841","MKII-3.35",26.111,0.0738
"2842","MKII-3.40",26.111,0.0706666666666667
"2881","MKII-2.90",29.907,0.418933333333333
"2882","MKII-2.95",29.907,0.397466666666667
"2883","MKII-3.0",29.907,0.228933333333333
"2884","MKII-3.05",29.907,0.265866666666667
"2885","MKII-3.10",29.907,0.226266666666667
"2886","MKII-3.15",29.907,0.167636363636364
"2887","MKII-3.20",29.907,0.1684
"2888","MKII-3.25",29.907,0.0992
"2889","MKII-3.30",29.907,0.157533333333333
"2890","MKII-3.35",29.907,0.0742
"2891","MKII-3.40",29.907,0.0727333333333333
"2930","MKII-2.90",34.255,0.404733333333333
"2931","MKII-2.95",34.255,0.3978
"2932","MKII-3.0",34.255,0.217
"2933","MKII-3.05",34.255,0.2708
"2934","MKII-3.10",34.255,0.236133333333333
"2935","MKII-3.15",34.255,0.162545454545455
"2936","MKII-3.20",34.255,0.170666666666667
"2937","MKII-3.25",34.255,0.1002
"2938","MKII-3.30",34.255,0.173
"2939","MKII-3.35",34.255,0.0840666666666667
"2940","MKII-3.40",34.255,0.0928666666666667
"2979","MKII-2.90",39.234,0.397533333333333
"2980","MKII-2.95",39.234,0.406133333333333
"2981","MKII-3.0",39.234,0.2098
"2982","MKII-3.05",39.234,0.284933333333333
"2983","MKII-3.10",39.234,0.2546
"2984","MKII-3.15",39.234,0.174
"2985","MKII-3.20",39.234,0.195066666666667
"2986","MKII-3.25",39.234,0.112266666666667
"2987","MKII-3.30",39.234,0.1996
"2988","MKII-3.35",39.234,0.0925333333333333
"2989","MKII-3.40",39.234,0.106133333333333
"3028","MKII-2.90",44.938,0.409466666666667
"3029","MKII-2.95",44.938,0.434
"3030","MKII-3.0",44.938,0.213666666666667
"3031","MKII-3.05",44.938,0.3176
"3032","MKII-3.10",44.938,0.29
"3033","MKII-3.15",44.938,0.206272727272727
"3034","MKII-3.20",44.938,0.227066666666667
"3035","MKII-3.25",44.938,0.1324
"3036","MKII-3.30",44.938,0.252066666666667
"3037","MKII-3.35",44.938,0.1238
"3038","MKII-3.40",44.938,0.138733333333333
"3077","MKII-2.90",51.471,0.438533333333333
"3078","MKII-2.95",51.471,0.478533333333333
"3079","MKII-3.0",51.471,0.2274
"3080","MKII-3.05",51.471,0.367733333333333
"3081","MKII-3.10",51.471,0.341066666666667
"3082","MKII-3.15",51.471,0.241272727272727
"3083","MKII-3.20",51.471,0.273133333333333
"3084","MKII-3.25",51.471,0.167866666666667
"3085","MKII-3.30",51.471,0.317266666666667
"3086","MKII-3.35",51.471,0.1668
"3087","MKII-3.40",51.471,0.208866666666667
"3126","MKII-2.90",58.953,0.4884
"3127","MKII-2.95",58.953,0.544066666666667
"3128","MKII-3.0",58.953,0.253533333333333
"3129","MKII-3.05",58.953,0.4404
"3130","MKII-3.10",58.953,0.4128
"3131","MKII-3.15",58.953,0.291090909090909
"3132","MKII-3.20",58.953,0.336133333333333
"3133","MKII-3.25",58.953,0.209
"3134","MKII-3.30",58.953,0.4074
"3135","MKII-3.35",58.953,0.227666666666667
"3136","MKII-3.40",58.953,0.272733333333333
"3175","MKII-2.90",67.523,0.564333333333333
"3176","MKII-2.95",67.523,0.6368
"3177","MKII-3.0",67.523,0.296133333333333
"3178","MKII-3.05",67.523,0.5416
"3179","MKII-3.10",67.523,0.510533333333333
"3180","MKII-3.15",67.523,0.359
"3181","MKII-3.20",67.523,0.434266666666667
"3182","MKII-3.25",67.523,0.260333333333333
"3183","MKII-3.30",67.523,0.5278
