"","sample.id","variable","value"
"742","MKII-3.30-1-5",0.011,0
"1524","MKII-3.30-1-5",0.011,0
"2306","MKII-3.30-1-5",0.011,0
"3088","MKII-3.30-1-5",0.011,0
"3870","MKII-3.30-1-5",0.011,0
"4652","MKII-3.30-1-5",0.011,0
"5434","MKII-3.30-1-5",0.011,0
"6216","MKII-3.30-1-5",0.011,0
"6998","MKII-3.30-1-5",0.011,0
"7780","MKII-3.30-1-5",0.011,0
"8562","MKII-3.30-1-5",0.011,0
"9344","MKII-3.30-1-5",0.011,0
"10126","MKII-3.30-1-5",0.011,0
"10908","MKII-3.30-1-5",0.011,0
"11690","MKII-3.30-1-5",0.011,0
"12472","MKII-3.30-1-5",0.011,0
"13254","MKII-3.30-1-5",0.011,0
"14036","MKII-3.30-1-5",0.011,0
"14818","MKII-3.30-1-5",0.011,0
"15600","MKII-3.30-1-5",0.011,0
"16382","MKII-3.30-1-5",0.011,0
"17164","MKII-3.30-1-5",0.011,0
"17946","MKII-3.30-1-5",0.011,0
"18728","MKII-3.30-1-5",0.011,0
"19510","MKII-3.30-1-5",0.011,0
"20292","MKII-3.30-1-5",0.011,0
"21074","MKII-3.30-1-5",0.011,0
"21856","MKII-3.30-1-5",0.011,0
"22638","MKII-3.30-1-5",0.011,0
"23420","MKII-3.30-1-5",0.011,0
"24202","MKII-3.30-1-5",0.011,0
"24984","MKII-3.30-1-5",0.011,0
"25766","MKII-3.30-1-5",0.011,0
"26548","MKII-3.30-1-5",0.011,0
"27330","MKII-3.30-1-5",0.011,0
"28112","MKII-3.30-1-5",0.011,0
"28894","MKII-3.30-1-5",0.011,0
"29676","MKII-3.30-1-5",0.011,0
"30458","MKII-3.30-1-5",0.011,0
"31240","MKII-3.30-1-5",0.011,0
"32022","MKII-3.30-1-5",0.011,0
"32804","MKII-3.30-1-5",0.011,0
"33586","MKII-3.30-1-5",0.011,0
"34368","MKII-3.30-1-5",0.011,0
"35150","MKII-3.30-1-5",0.011,0
"35932","MKII-3.30-1-5",0.011,0
"36714","MKII-3.30-1-5",0.011,0
"37496","MKII-3.30-1-5",0.011,0
"38278","MKII-3.30-1-5",0.011,0
"39060","MKII-3.30-1-5",0.011,0
"39842","MKII-3.30-1-5",0.011,0
"40624","MKII-3.30-1-5",0.011,0
"41406","MKII-3.30-1-5",0.011,0
"42188","MKII-3.30-1-5",0.011,0
"42970","MKII-3.30-1-5",0.011,0
"43752","MKII-3.30-1-5",0.011,0
"44534","MKII-3.30-1-5",0.011,0
"45316","MKII-3.30-1-5",0.011,0
"46098","MKII-3.30-1-5",0.011,0
"46880","MKII-3.30-1-5",0.011,0
"47662","MKII-3.30-1-5",0.011,0
"48444","MKII-3.30-1-5",0.011,0
"49226","MKII-3.30-1-5",0.011,0
"50008","MKII-3.30-1-5",0.011,0
"50790","MKII-3.30-1-5",0.011,0
"51572","MKII-3.30-1-5",0.011,0
"52354","MKII-3.30-1-5",0.011,0
"53136","MKII-3.30-1-5",0.011,0
"53918","MKII-3.30-1-5",0.011,0
"54700","MKII-3.30-1-5",0.011,0
"55482","MKII-3.30-1-5",0.011,0
"56264","MKII-3.30-1-5",0.011,0
"57046","MKII-3.30-1-5",0.011,0
"57828","MKII-3.30-1-5",0.011,0
"58610","MKII-3.30-1-5",0.011,0
"59392","MKII-3.30-1-5",0.011,0
"60174","MKII-3.30-1-5",0.011,0
"60956","MKII-3.30-1-5",0.011,0
"61738","MKII-3.30-1-5",0.011,0
"62520","MKII-3.30-1-5",0.011,0
"63302","MKII-3.30-1-5",0.011,0
"64084","MKII-3.30-1-5",0.011,0
"64866","MKII-3.30-1-5",0.011,0
"65648","MKII-3.30-1-5",0.011,0
"66430","MKII-3.30-1-5",0.011,0
"67212","MKII-3.30-1-5",0.011,0
"67994","MKII-3.30-1-5",0.011,0
